Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-2.19979,-2.79827,-1.66591,1.00072,6968.65,-1.956430434782609,20.2481100441,0
theta2,2.6,-2.55141,-4.37808,-1.50315,1.00434,1825.34,-1.9813115384615385,26.537024988100004,0
theta3,2.9,-2.17336,-3.64853,-1.24882,1.0034,1883.61,-1.7494344827586208,25.7389816896,0
theta4[1],-4.0,-2.68002,-3.21201,-2.1703,1.00148,4734.83,-0.32999500000000004,1.7423472004000005,0
theta4[2],-1.0,-0.0565644,-0.536799,0.438148,1.00094,4158.02,-0.9434356,0.89007073134736,0
theta4[3],2.7,3.57708,3.03475,4.16082,1.00058,4626.15,0.3248444444444444,0.7692693263999998,0
theta5[1],-7.5,-5.97129,-7.38373,-4.80486,1.00201,3407.31,-0.20382800000000004,2.3369542641000005,0
theta5[2],-2.5,-1.15739,-2.08243,-0.273388,1.00133,4017.72,-0.5370440000000001,1.8026016121000001,0
theta5[3],2.6,3.85438,2.84925,4.97187,1.00116,3683.24,0.48245384615384607,1.5734691843999995,0
theta6[1],-5.5,-4.91547,-5.74504,-4.14465,1.0007,5104.17,-0.10627818181818181,0.34167532089999997,1
theta6[2],-2.7,-1.8472,-2.54043,-1.17791,1.0009,4847.22,-0.31585185185185194,0.7272678400000003,0
theta6[3],2.5,3.38891,2.67664,4.15136,1.00088,5055.43,0.35556400000000005,0.7901609881000001,0
theta7[1],-4.3,-3.87964,-4.28347,-3.49265,1.00076,4655.78,-0.09775813953488363,0.17670252959999969,0
theta7[2],-1.0,-0.648359,-0.957512,-0.335728,1.00118,4146.11,-0.351641,0.12365139288099998,0
theta7[3],1.4,1.80874,1.4901,2.14168,1.00096,4661.83,0.29195714285714297,0.1670683876000001,0
lambda[1],1.2,1.59826,1.14945,2.13256,1.00063,4742.12,0.3318833333333334,0.15861102760000004,1
lambda[2],4.0,6.592,4.16279,11.5383,1.00478,1200.63,0.6479999999999999,6.718463999999998,0
lambda[3],4.1,5.67589,3.74534,9.37053,1.00451,1151.53,0.3843634146341464,2.4834292921000007,1
lambda[4],3.1,4.63456,4.08825,5.2436,1.00211,3019.24,0.4950193548387095,2.3548743935999985,0
lambda[5],5.2,8.53052,7.04611,10.3831,1.00201,1922.53,0.6404846153846152,11.092363470399993,0
lambda[6],3.0,5.37009,4.62111,6.21086,1.00168,2895.15,0.7900300000000001,5.617326608100001,0
lambda[7],1.7,3.03873,2.72086,3.37036,1.00126,4052.58,0.7874882352941178,1.7921980129000006,0
"beta[1,1]",0.3,-0.147327,-0.53354,0.234122,1.00065,14531.1,-1.4910900000000002,0.20010144492900003,0
"beta[1,2]",0.5,-0.60275,-0.819633,-0.398657,1.00063,11999.8,-2.2055,1.2160575624999999,0
"beta[2,1]",0.1,0.0443756,-0.626951,0.722687,1.00001,12729.3,-0.556244,0.0030940738753600003,1
"beta[2,2]",0.2,-0.300098,-0.717821,0.0416174,1.0015,6679.78,-2.5004899999999997,0.2500980096039999,0
"beta[3,1]",-0.1,0.907722,0.279354,1.73403,1.00241,4086.61,-10.077219999999999,1.015503629284,0
"beta[3,2]",0.2,-0.304418,-0.685796,0.0114038,1.00053,5511.19,-2.52209,0.25443751872400006,0
"beta[4,1]",-0.2,0.202257,-0.0839282,0.488471,0.999994,14414.5,-2.0112849999999995,0.16181069404899998,0
"beta[4,2]",0.4,-0.464717,-0.61731,-0.315789,1.00085,12965.7,-2.1617925,0.747735490089,0
"beta[5,1]",0.3,-0.23859,-0.673739,0.196544,1.00052,15257.6,-1.7953000000000001,0.2900791881,0
"beta[5,2]",-0.3,0.222207,-0.00273387,0.46396,1.00029,13440.5,-1.74069,0.27270015084899996,0
"beta[6,1]",-0.1,0.128718,-0.206613,0.463612,1.00063,15345.9,-2.2871799999999998,0.052311923524,1
"beta[6,2]",-0.2,0.12497,-0.0370013,0.292681,1.00067,15053.1,-1.62485,0.10560550089999998,0
"beta[7,1]",-0.2,0.196407,-0.0266944,0.426526,0.999763,13828.3,-1.982035,0.157138509649,0
"beta[7,2]",-0.1,0.0244982,-0.0926849,0.14449,1.00079,12728.3,-1.244982,0.015499801803240001,0
sigma_bk[1],3.7,4.01145,3.3493,4.80308,1.00388,3042.91,0.08417567567567562,0.09700110249999987,1
sigma_bk[2],3.4,4.38083,2.86672,6.97784,1.00916,1376.97,0.28847941176470576,0.9620274888999993,1
sigma_bk[3],4.8,5.34965,3.78883,8.21412,1.00551,1408.68,0.11451041666666661,0.3021151224999997,1
sigma_bk[4],3.1,3.13302,2.7293,3.57393,1.00179,3117.11,0.010651612903225822,0.0010903204000000033,1
sigma_bk[5],6.1,6.01859,4.9679,7.34694,1.00194,2302.7,-0.01334590163934426,0.006627588099999997,1
sigma_bk[6],5.1,5.41063,4.70731,6.19864,1.00176,3620.03,0.06090784313725503,0.09649099690000039,1
sigma_bk[7],1.7,1.52948,1.27658,1.78959,1.00609,1726.56,-0.10030588235294118,0.029077070400000002,1
rho,0.6,-0.0844587,-0.178186,0.00808881,1.00183,5778.8,-1.1407645,0.46848371200568995,0
"Gamma[1,1]",0.18,0.206601,0.156588,0.264142,1.00468,745.088,0.1477833333333334,0.0007076132010000008,1
"Gamma[1,2]",-0.07,-0.089098,-0.132362,-0.043627,1.00075,3940.74,0.27282857142857125,0.0003647336039999996,1
"Gamma[2,1]",0.1,0.0865189,0.0479729,0.125805,1.00165,2648.27,-0.1348110000000001,0.00018174005721000025,1
"Gamma[2,2]",0.15,0.130025,0.107008,0.155312,1.00413,1484.29,-0.13316666666666663,0.0003990006249999997,1
