2026-06-09 07:59:36,770 [INFO] --- STARTING SMOKE TEST ---
2026-06-09 07:59:37,605 [INFO] Smoke Test Passed in 0.84s. Architecture and memory bounds verified.
2026-06-09 07:59:37,606 [INFO] --- LAUNCHING latent-dimension K-scaling stress test ---
2026-06-09 07:59:37,606 [INFO] Total isolated tasks queued: 100
2026-06-09 07:59:37,606 [INFO] Active Python processes: 4; PyTorch threads per worker: 8
2026-06-09 07:59:37,606 [INFO] ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2026-06-09 07:59:37,608 [INFO] Worker recycling enabled: max_tasks_per_child=1
2026-06-09 08:26:48,655 [INFO] [Progress 22/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 293.9s
2026-06-09 08:26:50,300 [INFO] [Worker 25] Spawned: Latent K=4 (D=512, N=90, J=5-7) | exact
2026-06-09 08:27:01,853 [INFO] [Progress 23/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 291.2s
2026-06-09 08:27:03,489 [INFO] [Worker 26] Spawned: Latent K=4 (D=512, N=90, J=5-7) | exact
2026-06-09 08:27:08,830 [INFO] [Progress 24/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 287.4s
2026-06-09 08:27:10,473 [INFO] [Worker 27] Spawned: Latent K=4 (D=512, N=90, J=5-7) | exact
2026-06-09 08:31:29,806 [INFO] [Progress 25/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 289.3s
2026-06-09 08:31:31,442 [INFO] [Worker 28] Spawned: Latent K=4 (D=512, N=90, J=5-7) | exact
2026-06-09 08:31:39,499 [INFO] [Progress 26/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 289.1s
2026-06-09 08:31:41,133 [INFO] [Worker 29] Spawned: Latent K=4 (D=512, N=90, J=5-7) | exact
2026-06-09 08:31:53,778 [INFO] [Progress 27/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 290.2s
2026-06-09 08:31:55,413 [INFO] [Worker 30] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:31:58,156 [INFO] [Progress 28/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Exact in 287.6s
2026-06-09 08:31:59,815 [INFO] [Worker 31] Spawned: Latent K=4 (D=512, N=90, J=5-7) | diagonal
2026-06-09 08:36:04,062 [INFO] [Progress 29/100] Finished Latent K=4 (D=512, N=90, J=5-7) | Diagonal in 248.6s
