Item,Covariate,Model,Estimate,SE,Z_Score
Q1_Speech,Age_Base,1. Naive LMM,0.027657259979741517,0.028329368300964875,0.9762752097370111
Q1_Speech,Bulbar_Onset,1. Naive LMM,-1.736207046709452,0.07536571415916249,-23.037094069629735
Q1_Speech,FVC_Base,1. Naive LMM,0.1658562707098596,0.027874536403891436,5.950099700553411
Q1_Speech,BMI_Base,1. Naive LMM,-0.02827255136200037,0.028734692078470604,-0.983916976899972
Q1_Speech,Sex_Female,2. Ordinal (IRT),-0.24429845309845696,0.06351913971896705,-3.8460604816017137
Q1_Speech,Treatment_Active,2. Ordinal (IRT),0.12692615285897746,0.06785044040298105,1.8706754459533455
Q1_Speech,Age_Base,2. Ordinal (IRT),0.10805499501786649,0.030216069217776215,3.576077160767734
Q1_Speech,Bulbar_Onset,2. Ordinal (IRT),-3.0949745873655505,0.09086676046179197,-34.06058025659381
Q1_Speech,FVC_Base,2. Ordinal (IRT),0.39206331288988067,0.03162949584145282,12.395496749462962
Q1_Speech,BMI_Base,2. Ordinal (IRT),-0.07574072400992371,0.030381512419678843,-2.4929872800165342
Q1_Speech,Sex_Female,3. Discrete AR(1),-0.02572749943291205,0.016250848765998714,-1.5831480437342522
Q1_Speech,Treatment_Active,3. Discrete AR(1),0.002354880768999912,0.018052878928666766,0.1304435031279426
Q1_Speech,Age_Base,3. Discrete AR(1),-0.009512861163894947,0.007976333167973622,-1.1926358846306415
Q1_Speech,Bulbar_Onset,3. Discrete AR(1),-0.22804583047180702,,
Q1_Speech,FVC_Base,3. Discrete AR(1),0.01762352912350805,0.0061474532553230914,2.866801648023562
Q1_Speech,BMI_Base,3. Discrete AR(1),-0.002832030397492382,0.008611224183936108,-0.3288766308947595
Q1_Speech,Age_Base,4. CLOUD,-0.0443191,0.3367757653061224,-0.1315982459715141
Q1_Speech,Sex_Female,4. CLOUD,2.43691,0.7060994897959183,3.4512275326871182
Q1_Speech,Treatment_Active,4. CLOUD,-0.266329,0.6684285714285714,-0.3984404787347724
Q1_Speech,BMI_Base,4. CLOUD,0.608869,0.42020663265306124,1.4489752247740117
Q1_Speech,Bulbar_Onset,4. CLOUD,-12.5325,0.9504336734693877,-13.186085836218698
Q1_Speech,FVC_Base,4. CLOUD,0.45473,0.34762066326530616,1.3081213174400608
