Run_ID,Parameter,Estimate,2.5%,97.5%,R_hat,ESS,MCSE,ESS_sec,Time_s,Divergences,Max_Treedepths,E_BFMI,Std
1,sigma_bk[6],3.08719,2.78577,3.3964,1.00135,1550.56,0.00395162,0.0031632433977019,490180.427192688,0,0,0.6790497923883645,0.15560353638709393
1,sigma_bk[7],3.67412,3.36299,4.00939,1.00169,1576.62,0.00418165,0.0032164074951532,490180.427192688,0,0,0.6790497923883645,0.1660394154308788
1,sigma_bk[8],2.95428,2.56954,3.35496,1.00328,966.26,0.00671297,0.0019712333385767,490180.427192688,0,0,0.6790497923883645,0.20867081252682856
1,sigma_bk[9],1.42392,0.870177,1.8603,1.01451,353.032,0.014683,0.0007202082751892,490180.427192688,0,0,0.6790497923883645,0.27588102782295126
1,"theta[1,1]",-12.9405,-14.5764,-11.4263,1.00418,926.772,0.0265465,0.0018906752464754,490180.427192688,0,0,0.6790497923883645,0.8081532469196402
1,"theta[1,2]",-9.04198,-10.5202,-7.6523,1.0045,869.513,0.0248087,0.0017738631568375,490180.427192688,0,0,0.6790497923883645,0.7315466858534724
1,"theta[1,3]",-3.42356,-4.74179,-2.15126,1.0048,841.626,0.022993,0.0017169718603822,490180.427192688,0,0,0.6790497923883645,0.6670451196640854
1,"theta[1,4]",3.6098,2.32026,4.92184,1.0042,915.594,0.0223598,0.0018678713983822,490180.427192688,0,0,0.6790497923883645,0.6765803550992947
1,"theta[10,1]",-9.60256,-10.592,-8.67114,1.0029,941.417,0.0161536,0.0019205520003962,490180.427192688,0,0,0.6790497923883645,0.49563314624026544
1,"theta[10,2]",-5.85044,-6.6498,-5.10332,1.0025,675.209,0.0151663,0.0013774703405988,490180.427192688,0,0,0.6790497923883645,0.3940930297173361
1,"theta[10,3]",-2.84802,-3.57657,-2.14074,1.00183,612.576,0.0147286,0.0012496949409185,490180.427192688,0,0,0.6790497923883645,0.3645368668687777
1,"theta[10,4]",-0.714506,-1.41649,-0.0185657,1.0014,601.354,0.0144523,0.0012268013299592,490180.427192688,0,0,0.6790497923883645,0.3544068195824435
1,"theta[11,1]",-11.2918,-12.6791,-9.95104,1.00107,788.261,0.0247974,0.0016081037843849,490180.427192688,0,0,0.6790497923883645,0.6962114597089626
1,"theta[11,2]",-9.15776,-10.407,-7.95471,1.00139,687.409,0.023693,0.0014023591352613,490180.427192688,0,0,0.6790497923883645,0.6211945851235673
1,"theta[11,3]",-6.10713,-7.21491,-5.02501,1.00155,600.828,0.022506,0.0012257282556976,490180.427192688,0,0,0.6790497923883645,0.5516624150599785
1,"theta[11,4]",-3.06053,-4.06564,-2.08954,1.00231,558.487,0.0214748,0.0011393498577626,490180.427192688,0,0,0.6790497923883645,0.5074995506386034
1,"theta[12,1]",-19.3619,-22.2135,-16.729,1.00038,2510.96,0.0285186,0.0051225219545801,490180.427192688,0,0,0.6790497923883645,1.4290522203487603
1,"theta[12,2]",-16.4153,-18.9041,-14.191,1.00074,2376.49,0.0248887,0.0048481943957052,490180.427192688,0,0,0.6790497923883645,1.2133056178768018
1,"theta[12,3]",-10.5211,-12.4472,-8.7595,1.00061,1951.37,0.0213778,0.0039809219049721,490180.427192688,0,0,0.6790497923883645,0.9443496456260206
1,"theta[12,4]",-8.33774,-10.1207,-6.69239,1.00069,1726.69,0.0209138,0.003522560070154,490180.427192688,0,0,0.6790497923883645,0.8690407421924725
1,"theta[2,1]",-8.7763,-9.67173,-7.92017,1.00146,1380.07,0.0118553,0.0028154326926185,490180.427192688,0,0,0.6790497923883645,0.4404160180259868
1,"theta[2,2]",-6.56633,-7.36717,-5.79576,1.00203,1204.13,0.0114907,0.0024565036325423,490180.427192688,0,0,0.6790497923883645,0.39873391282684206
1,"theta[2,3]",-3.52143,-4.25797,-2.82233,1.00261,1052.38,0.0112648,0.0021469237481126,490180.427192688,0,0,0.6790497923883645,0.36543469567532205
1,"theta[2,4]",0.569827,-0.139278,1.24757,1.00296,964.514,0.0113399,0.0019676713848487,490180.427192688,0,0,0.6790497923883645,0.35217902979918203
