Run_ID,Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
82,theta1,2.3,-2.30781,-2.91888,-1.75664,1.0006,4199.58,-2.003395652173913,21.231912996099997,0
82,theta2,2.6,-2.35283,-3.10978,-1.72979,1.00543,1396.14,-1.9049346153846156,24.530525008900003,0
82,theta3,2.9,-2.54309,-3.47343,-1.81913,1.00246,2313.91,-1.8769275862068966,29.6272287481,0
82,theta4[1],-4.0,-4.70989,-5.29832,-4.17002,1.00011,5386.65,0.17747249999999992,0.5039438120999996,0
82,theta4[2],-1.0,-1.61067,-2.05676,-1.1949,1.00066,6240.7,0.61067,0.37291784890000007,0
82,theta4[3],2.7,2.4149,1.97846,2.86007,1.00017,6099.55,-0.10559259259259271,0.0812820100000002,1
82,theta5[1],-7.5,-6.97814,-8.15601,-5.99921,1.00055,3268.3,-0.06958133333333336,0.27233785960000023,1
82,theta5[2],-2.5,-2.26519,-3.00188,-1.58826,1.00026,4840.08,-0.09392399999999998,0.055135736099999985,1
82,theta5[3],2.6,2.61745,1.9247,3.36326,1.00046,5586.72,0.006711538461538363,0.00030450249999999107,1
82,theta6[1],-5.5,-5.57803,-6.29042,-4.9022,1.00033,5115.45,0.014187272727272736,0.006088680900000007,1
82,theta6[2],-2.7,-2.81413,-3.39933,-2.24139,1.00019,5324.11,0.04227037037037031,0.013025656899999963,1
82,theta6[3],2.5,2.23801,1.68077,2.79099,0.999845,5525.92,-0.10479599999999997,0.06863876009999997,1
82,theta7[1],-4.3,-4.06904,-4.42234,-3.73606,1.00059,6003.08,-0.05371162790697666,0.05334252159999982,1
82,theta7[2],-1.0,-0.855062,-1.10146,-0.619586,1.0003,6658.1,-0.144938,0.021007023844000005,1
82,theta7[3],1.4,1.55324,1.29944,1.80928,0.999877,6317.81,0.10945714285714289,0.023482497600000013,1
82,lambda[1],1.2,1.12263,0.677005,1.6033,1.00088,3674.53,-0.06447499999999995,0.005986116899999991,1
82,lambda[2],4.0,3.44222,2.59623,4.56041,1.00078,1404.72,-0.13944500000000004,0.3111185284000002,1
82,lambda[3],4.1,3.51996,2.60473,4.75427,1.00069,1868.59,-0.1414731707317072,0.33644640159999933,1
82,lambda[4],3.1,3.36257,2.92793,3.8608,1.00146,2191.99,0.08469999999999991,0.06894300489999987,1
82,lambda[5],5.2,4.91819,4.14234,5.8398,1.00026,2114.95,-0.05419423076923079,0.07941687610000006,1
82,lambda[6],3.0,3.07699,2.63188,3.57791,1.00079,3190.43,0.0256633333333333,0.005927460099999983,1
82,lambda[7],1.7,1.72708,1.51062,1.95007,1.00119,3399.45,0.01592941176470588,0.0007333263999999997,1
82,"beta[1,1]",0.3,-0.501335,-0.88115,-0.122394,1.00013,7427.87,-2.6711166666666664,0.6421377822249998,0
82,"beta[1,2]",0.5,-0.604936,-0.814906,-0.404428,1.00023,7023.71,-2.209872,1.2208835640959999,0
82,"beta[2,1]",0.1,-0.217998,-0.657354,0.20581,1.00007,7868.4,-3.17998,0.101122728004,1
82,"beta[2,2]",0.2,-0.19791,-0.439464,0.02597,1.00091,6742.44,-1.98955,0.15833236809999998,0
82,"beta[3,1]",-0.1,0.118596,-0.347669,0.593343,1.0003,7696.6,-2.18596,0.047784211216,1
82,"beta[3,2]",0.2,-0.0597891,-0.313056,0.191678,1.00054,8351.2,-1.2989454999999999,0.06749037647881,0
82,"beta[4,1]",-0.2,0.232896,-0.0238023,0.49415,1.00062,9016.94,-2.1644799999999997,0.187398946816,0
82,"beta[4,2]",0.4,-0.500645,-0.64454,-0.361559,1.00052,7605.1,-2.2516125,0.811161416025,0
82,"beta[5,1]",0.3,-0.371984,-0.726936,-0.0301263,1.00022,9026.36,-2.2399466666666665,0.45156249625599987,0
82,"beta[5,2]",-0.3,0.26347,0.0774843,0.454545,1.00023,7860.03,-1.8782333333333332,0.3174984408999999,0
