Item,Parameter,SM_Est,SM_SE,SM_Z,Stan_Est,Stan_SE,Stan_Z,Stan_Pr_Pos_Approx,Stan_Pr_Neg_Approx,Stan_Pr_Direction_Approx,Z_Diff,Z_Diff_Abs,Same_Sign,SM_Sig_Approx,Stan_Sig_Approx,Sig_Agree_Approx
Q1_Speech,t_abs,-0.6106657544857033,0.031216119705343742,-19.56251322233257,-4.91723,0.26447448979591837,-18.592454810270656,1.84928230976431e-77,1.0,1.0,-0.9700584120619133,0.9700584120619133,True,True,True,True
Q1_Speech,Sex_Female,-0.19819522767437578,0.07281201585860012,-2.72201264224394,1.09448,0.5856178061224491,1.868932243107292,0.969183879122602,0.030816120877398052,0.969183879122602,-4.590944885351232,4.590944885351232,False,True,False,False
Q1_Speech,Treatment_Active,0.11494667704018358,0.07715213804622326,1.4898702738648268,-0.889152,0.5288933673469388,-1.6811555124243824,0.04636635605665798,0.953633643943342,0.953633643943342,3.171025786289209,3.171025786289209,False,False,False,True
Q1_Speech,Age_Base,-0.05249716965531305,0.03529348837253289,-1.4874463272428717,-0.28151,0.24227729591836736,-1.1619330607637772,0.12263132830332885,0.8773686716966711,0.8773686716966711,-0.3255132664790945,0.3255132664790945,True,False,False,True
Q1_Speech,Bulbar_Onset,-0.9869371002462725,0.07286999713415054,-13.543805942922758,-1.92204,0.4495076530612245,-4.275878256822941,9.51926238946409e-06,0.9999904807376105,0.9999904807376105,-9.267927686099817,9.267927686099817,True,True,True,True
Q1_Speech,FVC_Base,0.09111419462430353,0.029173287100719873,3.12320631918284,0.246768,0.20005663265306123,1.2334907207397905,0.8913036316994352,0.1086963683005649,0.8913036316994352,1.8897155984430494,1.8897155984430494,True,True,False,False
Q1_Speech,BMI_Base,-0.012047299641106195,0.037157337473554895,-0.3242239745966818,-0.260371,0.2798607142857143,-0.9303592348234454,0.17609255887295683,0.8239074411270432,0.8239074411270432,0.6061352602267636,0.6061352602267636,True,False,False,True
Q2_Salivation,t_abs,-0.33323199868301107,0.03389797074513034,-9.830440918970996,-2.16144,0.22030102040816327,-9.811302716598345,5.033027053774718e-23,1.0,1.0,-0.019138202372651847,0.019138202372651847,True,True,True,True
Q2_Salivation,Sex_Female,-0.06746068998645774,0.05806707443148361,-1.1617718069481553,0.861784,0.38473010204081637,2.239970294574383,0.9874535742859658,0.012546425714034248,0.9874535742859658,-3.4017421015225384,3.4017421015225384,False,False,True,False
Q2_Salivation,Treatment_Active,0.11576427983233976,0.06141420403787085,1.8849756606949448,-0.102652,0.35694158163265305,-0.2875876761975142,0.38683118975014186,0.6131688102498581,0.6131688102498581,2.172563336892459,2.172563336892459,False,False,False,True
Q2_Salivation,Age_Base,-0.08661801935080986,0.028095352084764127,-3.0830017395575577,-0.450215,0.17293698979591837,-2.603347037156685,0.004615922647720325,0.9953840773522796,0.9953840773522796,-0.4796547024008726,0.4796547024008726,True,True,True,True
