Run_ID,Parameter,Estimate,2.5%,97.5%,R_hat,ESS,MCSE,ESS_sec,Time_s,Divergences,Max_Treedepths,E_BFMI,Std
1,"Gamma[1,1]",0.25396,0.205304,0.308506,1.00363,510.804,0.00118237,0.0030788201373807,165909.00968790054,0,0,0.6698218029303634,0.026722712954858976
1,"Gamma[1,2]",-0.148063,-0.261653,-0.0336005,1.00387,468.557,0.00272392,0.0028241805606665,165909.00968790054,0,0,0.6698218029303634,0.05896245579305432
1,"Gamma[1,3]",-0.105258,-0.204385,-0.00150685,1.00136,700.574,0.00195174,0.0042226398754225,165909.00968790054,0,0,0.6698218029303634,0.05165935395668283
1,"Gamma[2,1]",0.358138,0.262544,0.453612,1.00235,479.165,0.00226215,0.0028881192221048,165909.00968790054,0,0,0.6698218029303634,0.049518096635575694
1,"Gamma[2,2]",0.178372,0.096616,0.261988,1.00664,394.65,0.00211671,0.0023787134932719,165909.00968790054,0,0,0.6698218029303634,0.04205013700442681
1,"Gamma[2,3]",0.0346826,-0.0792708,0.149207,1.00305,521.372,0.00253555,0.0031425177028105,165909.00968790054,0,0,0.6698218029303634,0.05789566291387491
1,"Gamma[3,1]",0.397457,0.309563,0.487024,1.00332,534.172,0.00197971,0.0032196684255114,165909.00968790054,0,0,0.6698218029303634,0.04575537684905529
1,"Gamma[3,2]",0.0354631,-0.0927038,0.154392,1.00549,423.243,0.00307352,0.0025510549475051,165909.00968790054,0,0,0.6698218029303634,0.06323112889361115
1,"Gamma[3,3]",0.214776,0.148424,0.284274,1.00317,638.191,0.00138155,0.0038466325680596,165909.00968790054,0,0,0.6698218029303634,0.034901327406731644
1,"alpha_dyn[1,1]",-1.44697,-1.67069,-1.23119,1.00262,874.841,0.00383626,0.0052730168279932,165909.00968790054,0,0,0.6698218029303634,0.11346779037909734
1,"alpha_dyn[1,2]",0.0730597,-0.00864743,0.154041,1.00063,2427.76,0.000849781,0.0146330811362624,165909.00968790054,0,0,0.6698218029303634,0.04187066827016017
1,"alpha_dyn[1,3]",0.0657439,-0.0379342,0.166315,1.00101,2768.08,0.000989634,0.0166843259760706,165909.00968790054,0,0,0.6698218029303634,0.052067164380120844
1,"alpha_dyn[2,1]",-1.13185,-1.32147,-0.942886,1.00157,1916.69,0.00222984,0.0115526577104256,165909.00968790054,0,0,0.6698218029303634,0.09762243594626833
