Parameter,True_Value,Estimate,2.5%,97.5%,R_hat,ESS,Rbias,MSE,Coverage
theta1,2.3,-1.51323,-2.07157,-1.00511,1.00001,8142.62,-1.6579260869565218,14.540723032899999,0
theta2,2.6,0.809355,0.172806,1.65364,1.00177,5236.59,-0.6887096153846154,3.2064095160250004,0
theta3,2.9,0.98122,0.0633027,2.26979,1.00207,3749.55,-0.661648275862069,3.6817166884,0
theta4[1],-4.0,-2.04412,-2.59349,-1.51064,1.00132,4787.71,-0.48897,3.8254665744,0
theta4[2],-1.0,0.651363,0.135095,1.1798,1.00025,4662.92,-1.651363,2.7269997577689997,0
theta4[3],2.7,4.55944,3.95346,5.2164,1.00012,5180.56,0.6886814814814816,3.4575171136000007,0
theta5[1],-7.5,-5.11439,-6.52478,-3.94849,1.00003,3109.42,-0.3180813333333333,5.691135072099999,0
theta5[2],-2.5,0.0833982,-0.888143,1.05463,1.0001,4676.91,-1.03335928,6.67394625976324,0
theta5[3],2.6,5.26538,4.06164,6.74267,1.0012,3429.13,1.025146153846154,7.104250544400002,0
theta6[1],-5.5,-4.05549,-4.85726,-3.31772,1.0002,6180.43,-0.2626381818181818,2.0866091401000006,0
theta6[2],-2.7,-1.25781,-1.96329,-0.569093,1.00106,5789.24,-0.5341444444444444,2.0799119961000003,0
theta6[3],2.5,4.21597,3.43453,5.07033,1.00108,4836.54,0.6863880000000002,2.9445530409000016,0
theta7[1],-4.3,-3.40482,-3.80631,-3.0258,1.00056,5259.72,-0.20818139534883717,0.8013472323999997,0
theta7[2],-1.0,-0.198343,-0.508982,0.113018,1.00002,4283.07,-0.8016570000000001,0.6426539456490001,0
theta7[3],1.4,2.07996,1.75447,2.42074,1.00056,4743.25,0.4856857142857142,0.4623456015999999,0
lambda[1],1.2,1.93818,1.43867,2.53079,1.00031,4548.69,0.6151500000000001,0.5449097124000001,0
lambda[2],4.0,5.43886,3.60985,9.24411,1.00881,1262.85,0.359715,2.0703180996,1
lambda[3],4.1,7.52779,4.43009,14.6168,1.0072,985.656,0.8360463414634149,11.749744284100005,0
lambda[4],3.1,4.87965,4.30725,5.51625,1.00222,3534.14,0.5740806451612902,3.167154122499999,0
lambda[5],5.2,9.18702,7.46547,11.3604,1.0028,1715.34,0.7667346153846154,15.896328480400001,0
lambda[6],3.0,5.56662,4.79663,6.41602,1.0023,3084.47,0.8555400000000001,6.587538224400002,0
lambda[7],1.7,3.05989,2.74908,3.39907,1.00113,4569.67,0.7999352941176472,1.8493008121000007,0
"beta[1,1]",0.3,-0.303969,-0.69535,0.0823671,1.00009,12970.3,-2.01323,0.364778552961,0
"beta[1,2]",0.5,-0.509394,-0.726289,-0.305404,1.00017,10609.6,-2.018788,1.0188762472359998,0
"beta[2,1]",0.1,0.404467,-0.153719,1.05434,1.00103,9210.23,3.0446700000000004,0.09270015408900002,1
"beta[2,2]",0.2,-0.287535,-0.616407,-0.000247169,1.00106,8190.11,-2.437675,0.237690376225,0
"beta[3,1]",-0.1,0.631541,-0.129447,1.64807,1.00083,5338.4,-7.31541,0.535152234681,1
"beta[3,2]",0.2,-0.229216,-0.71555,0.160641,1.00062,6047.31,-2.14608,0.18422637465600003,0
"beta[4,1]",-0.2,0.221328,-0.0762846,0.524299,1.00043,11611.3,-2.10664,0.17751728358400004,0
"beta[4,2]",0.4,-0.449114,-0.605432,-0.294512,1.00027,11982.5,-2.122785,0.7209945849960001,0
"beta[5,1]",0.3,-0.441672,-0.91249,0.0165498,1.00079,11201.1,-2.47224,0.550077355584,0
"beta[5,2]",-0.3,0.267452,0.0291591,0.522013,0.999814,11809.6,-1.891506666666667,0.32200177230400007,0
"beta[6,1]",-0.1,-0.0297802,-0.366086,0.304232,1.00021,12528.4,-0.702198,0.0049308203120399996,1
"beta[6,2]",-0.2,0.104048,-0.0638563,0.27284,1.0,12889.6,-1.5202399999999998,0.09244518630399999,0
"beta[7,1]",-0.2,0.130013,-0.0977618,0.359896,1.00011,12400.8,-1.650065,0.108908580169,0
"beta[7,2]",-0.1,0.032798,-0.0829737,0.152276,1.00046,11737.1,-1.32798,0.017635308804,0
sigma_bk[1],3.7,4.13615,3.42558,4.96188,1.00197,3233.51,0.11787837837837827,0.19022682249999964,1
sigma_bk[2],3.4,4.14278,2.93737,6.32902,1.00511,1874.76,0.218464705882353,0.5517221284000003,1
sigma_bk[3],4.8,6.35632,4.06297,11.4811,1.00579,1179.36,0.32423333333333343,2.422131942400001,1
sigma_bk[4],3.1,3.18008,2.75708,3.64486,1.00416,3306.47,0.025832258064516035,0.006412806399999953,1
sigma_bk[5],6.1,6.40229,5.21426,7.92286,1.00115,2099.8,0.049555737704918064,0.0913792441000001,1
sigma_bk[6],5.1,5.51303,4.80116,6.31845,1.00228,4184.69,0.08098627450980393,0.17059378090000002,1
sigma_bk[7],1.7,1.41594,1.15469,1.67431,1.00507,1711.22,-0.1670941176470588,0.08069008359999999,0
rho,0.6,0.0164025,-0.0809458,0.113179,1.00052,5933.16,-0.9726625,0.34058604200625,0
"Gamma[1,1]",0.18,0.225062,0.171677,0.289532,1.00793,808.805,0.25034444444444454,0.0020305838440000017,1
"Gamma[1,2]",-0.07,-0.0343066,-0.0869935,0.0198745,1.00141,3683.41,-0.5099057142857143,0.0012740188035600005,1
"Gamma[2,1]",0.1,0.0145477,-0.0201714,0.0496194,1.00165,3939.32,-0.854523,0.007302095575290001,0
"Gamma[2,2]",0.15,0.113721,0.0951754,0.133649,1.00586,1668.32,-0.24185999999999996,0.0013161658409999995,0
