Domain,Observed_Mean,Simulated_Mean,Abs_Error_Mean,PPP_Mean,Observed_Std,Simulated_Std,Abs_Error_Std,PPP_Std
Bulbar,9.922278597785978,9.741885839483395,0.18039275830258283,0.0,2.6693908622604905,2.7768154634781794,0.10742460121768893,1.0
Cervical,7.523754612546125,7.597831872693726,0.07407726014760119,1.0,3.089365212434386,3.0612378114169925,0.028127401017393527,0.0
Lumbar,7.0712638376383765,6.711279981549815,0.35998385608856154,0.0,3.132122122957585,3.1364133298048817,0.004291206847296891,0.686
Respiratory,10.91120848708487,10.9465073800738,0.035298892988929964,1.0,1.7946218899118689,1.7856343399408534,0.008987549971015474,0.246
