Item,Covariate,Model,Estimate,SE,Z_Score,P_Value
Q4_Handwriting,Treatment_Active,4. IRT + Latent OU,1.36914,0.47191530612244903,2.9012409265758077,
Q4_Handwriting,Age_Base,4. IRT + Latent OU,1.10851,0.23410663265306125,4.73506447654893,
Q3_Swallowing,Sex_Female,1. Naive LMM,-0.16980033901295935,0.05915335090776043,-2.8705109077883693,0.004098090576021694
Q3_Swallowing,Treatment_Active,1. Naive LMM,0.04206667718961199,0.062486733847512174,0.6732097294806331,0.5008138722518054
Q3_Swallowing,Age_Base,1. Naive LMM,-0.08221500248081538,0.028631009999458105,-2.8715369273515483,0.004084810539550206
Q3_Swallowing,Sex_Female,4. IRT + Latent OU,1.16291,0.4505816326530612,2.5809085762166815,
Q3_Swallowing,Age_Base,4. IRT + Latent OU,-0.310394,0.21320408163265306,-1.4558539293577104,
Q3_Swallowing,Treatment_Active,4. IRT + Latent OU,-0.100426,0.4306382653061225,-0.2332026856197078,
Q2_Salivation,Sex_Female,1. Naive LMM,-0.08763183690658832,0.0624126251390774,-1.4040722804290573,0.16029732697175292
Q2_Salivation,Treatment_Active,1. Naive LMM,0.12896177631553715,0.06593423028417075,1.9559153987196514,0.05047512103565714
Q2_Salivation,Age_Base,1. Naive LMM,-0.09853973729026463,0.030209963275342196,-3.261829098967961,0.0011069585792384293
Q2_Salivation,Treatment_Active,4. IRT + Latent OU,0.482657,0.3582655612244898,1.3472045662171985,
Q2_Salivation,Sex_Female,4. IRT + Latent OU,1.38565,0.3756301020408163,3.688868364041373,
Q2_Salivation,Age_Base,4. IRT + Latent OU,-0.363502,0.18202920918367346,-1.996943246801751,
Q1_Speech,Sex_Female,1. Naive LMM,-0.21817791229396802,0.07826978508087401,-2.787511324689736,0.005311459779400596
Q1_Speech,Treatment_Active,1. Naive LMM,0.12981777230890024,0.08288672473063623,1.566207046192013,0.11730015367910009
Q1_Speech,Age_Base,1. Naive LMM,-0.06458491216552599,0.03794707134801754,-1.7019735613641787,0.0887603245477978
Q1_Speech,Age_Base,4. IRT + Latent OU,-0.0443191,0.3367757653061224,-0.1315982459715141,
Q1_Speech,Sex_Female,4. IRT + Latent OU,2.43691,0.7060994897959183,3.4512275326871182,
Q1_Speech,Treatment_Active,4. IRT + Latent OU,-0.266329,0.6684285714285714,-0.3984404787347724,
