Item,Covariate,Model,Z_Score,SE,Est
Q1_Speech,Sex_Female,1. Naive LMM,-2.855678627785275,0.07951760016721295,-0.22707671133028481
Q1_Speech,Treatment_Active,1. Naive LMM,1.5762586013208408,0.08205702388448652,0.12934308969671154
Q1_Speech,Age_Base,1. Naive LMM,-1.465979725426753,0.03796924923351107,-0.05566214956600251
Q1_Speech,Bulbar_Onset,1. Naive LMM,-12.52567868736401,0.00024580378167359505,-0.0030788591893824257
Q1_Speech,FVC_Base,1. Naive LMM,2.482403336554257,9.71082038853713e-05,0.0002410617293318368
Q1_Speech,BMI_Base,1. Naive LMM,-0.5701081761574986,0.00011823884171213062,-6.740893039947796e-05
Q1_Speech,Sex_Female,2. Ordinal / IRT,-4.595464795858061,0.06877874880776534,-0.3160703188492502
Q1_Speech,Treatment_Active,2. Ordinal / IRT,2.4792595582450483,0.07277822911357089,0.18043612016196867
Q1_Speech,Age_Base,2. Ordinal / IRT,1.2873778514378167,0.03234297736709451,0.04163763271195206
Q1_Speech,Bulbar_Onset,2. Ordinal / IRT,-24.853200708729567,0.000586160297857508,-0.014567959530141353
Q1_Speech,FVC_Base,2. Ordinal / IRT,9.817456932305145,0.00021528013151549168,0.002113503419534327
Q1_Speech,BMI_Base,2. Ordinal / IRT,-1.9627713475048023,0.00027991946274703297,-0.0005494179010888142
Q1_Speech,Sex_Female,3. Discrete AR(1),-1.5675244128261145,0.01709847155831554,-0.026802271589672588
Q1_Speech,Treatment_Active,3. Discrete AR(1),0.3984511059793489,0.01838153335139881,0.007324142293461144
Q1_Speech,Age_Base,3. Discrete AR(1),-1.3784988238303828,0.008295050248207059,-0.011434717010767356
Q1_Speech,Bulbar_Onset,3. Discrete AR(1),0.0,0.0,-0.005026928135046606
Q1_Speech,FVC_Base,3. Discrete AR(1),2.4330129352811403,0.00017909459965646218,0.0004357394776031698
Q1_Speech,BMI_Base,3. Discrete AR(1),-0.19273228271453416,0.00031186942909509755,-6.0107306978376705e-05
Q1_Speech,Sex_Female,5. LPMM Approximation,-2.9972799891495474,0.06918931699783017,-0.207379755300521
Q1_Speech,Treatment_Active,5. LPMM Approximation,3.3107479550017436,0.07121792748228462,0.23578460777143626
Q1_Speech,Age_Base,5. LPMM Approximation,-2.3865149955853515,0.032356805806547796,-0.07722000226656948
Q1_Speech,Bulbar_Onset,5. LPMM Approximation,-4.011339997304761,0.00018222237736932565,-0.0007309559107455379
Q1_Speech,FVC_Base,5. LPMM Approximation,10.266159181034483,7.412734134232993e-05,0.0007610030858872374
Q1_Speech,BMI_Base,5. LPMM Approximation,-1.9062732718651383,9.431457420798157e-05,-0.0001797893519600164
Q2_Salivation,Sex_Female,1. Naive LMM,-1.0998198692139736,0.06221756960700775,-0.06842811926799056
Q2_Salivation,Treatment_Active,1. Naive LMM,1.7769659206303292,0.06431767269629746,0.1142903124755764
Q2_Salivation,Age_Base,1. Naive LMM,-2.765495124537722,0.0296926725602084,-0.08211494119975132
Q2_Salivation,Bulbar_Onset,1. Naive LMM,-12.71484015821036,0.0002521681692967968,-0.0032062779655973005
Q2_Salivation,FVC_Base,1. Naive LMM,2.7110619510822493,0.00010063982791811216,0.00027284080823225895
