Item,Covariate,Model,Estimate,SE,Z_Score
R_3_Respiratory_Insufficiency,Sex_Female,1. Naive LMM,0.05533475725059341,0.02922001494086167,1.8937278903719015
R_3_Respiratory_Insufficiency,Treatment_Active,1. Naive LMM,0.05414048812640002,0.030657251250574846,1.765992902751999
R_3_Respiratory_Insufficiency,Age_Base,1. Naive LMM,-0.03118594025125901,0.01407317714037096,-2.2159843466901012
R_3_Respiratory_Insufficiency,Sex_Female,2. Ordinal (IRT),0.31144417195932844,0.11626254661729675,2.6788005339717365
R_3_Respiratory_Insufficiency,Treatment_Active,2. Ordinal (IRT),0.30633949116189885,0.11265158488836152,2.719353584465619
R_3_Respiratory_Insufficiency,Age_Base,2. Ordinal (IRT),-0.2676523479028017,0.05537282275977921,-4.833641027547806
R_3_Respiratory_Insufficiency,Sex_Female,3. Discrete AR(1),0.014236986365794723,0.012246974274978003,1.162490101320989
R_3_Respiratory_Insufficiency,Treatment_Active,3. Discrete AR(1),-0.0011620210472940565,0.012790226391266134,-0.0908522657650179
R_3_Respiratory_Insufficiency,Age_Base,3. Discrete AR(1),-0.01349448083803376,0.0058241261680670635,-2.3169966529953054
R_3_Respiratory_Insufficiency,Treatment_Active,4. IRT + Latent OU,1.62806,0.7828686224489796,2.07960819135538
R_3_Respiratory_Insufficiency,Sex_Female,4. IRT + Latent OU,2.28152,0.8405918367346938,2.714182912913642
R_3_Respiratory_Insufficiency,Age_Base,4. IRT + Latent OU,-0.83153,0.38728711734693877,-2.147063413046865
R_2_Orthopnea,Sex_Female,1. Naive LMM,0.0874816444286859,0.04282120305861643,2.0429515795933004
R_2_Orthopnea,Treatment_Active,1. Naive LMM,0.07336335142833957,0.04497265627897708,1.6312879313431616
R_2_Orthopnea,Age_Base,1. Naive LMM,-0.0535677134483251,0.020640642621420555,-2.5952541512798306
R_2_Orthopnea,Sex_Female,2. Ordinal (IRT),0.17937119809236793,0.08145619165149577,2.202057258701637
R_2_Orthopnea,Treatment_Active,2. Ordinal (IRT),0.21593441465242516,0.08226789271813695,2.6247714329118805
R_2_Orthopnea,Age_Base,2. Ordinal (IRT),-0.1875579209012093,0.03906698708075179,-4.800931295610933
R_2_Orthopnea,Sex_Female,3. Discrete AR(1),0.04345612709021839,0.02098995916995726,2.070329281650855
R_2_Orthopnea,Treatment_Active,3. Discrete AR(1),0.017892618580207836,0.02172565241691249,0.8235710595406194
R_2_Orthopnea,Age_Base,3. Discrete AR(1),-0.029690810378426465,0.01016510406983261,-2.9208565081533284
R_2_Orthopnea,Sex_Female,4. IRT + Latent OU,1.39079,0.4561512755102041,3.0489665921560882
R_2_Orthopnea,Age_Base,4. IRT + Latent OU,-0.384661,0.22243543367346938,-1.7293153057829553
R_2_Orthopnea,Treatment_Active,4. IRT + Latent OU,1.06718,0.4254076530612245,2.5086055512179795
R_1_Dyspnea,Sex_Female,1. Naive LMM,0.029202280015282543,0.057701105353651236,0.5060956776529875
R_1_Dyspnea,Treatment_Active,1. Naive LMM,0.0462567147381475,0.06064675653823959,0.762723637314079
R_1_Dyspnea,Age_Base,1. Naive LMM,-0.05130716514391358,0.027828769260140232,-1.8436735259220385
R_1_Dyspnea,Sex_Female,2. Ordinal (IRT),0.0069299559080239935,0.06503249013536809,0.10656144172857251
R_1_Dyspnea,Treatment_Active,2. Ordinal (IRT),0.04042567542745828,0.06770612822977053,0.5970755747584312
R_1_Dyspnea,Age_Base,2. Ordinal (IRT),-0.099370299713319,0.03117415634773851,-3.1875858517187328
R_1_Dyspnea,Sex_Female,3. Discrete AR(1),0.045227535479368176,0.02560918373773589,1.7660670462028067
R_1_Dyspnea,Treatment_Active,3. Discrete AR(1),0.011957175831722174,0.026751965826874613,0.44696438045349846
R_1_Dyspnea,Age_Base,3. Discrete AR(1),-0.03452756633651388,0.01226389619604803,-2.8153831200593653
R_1_Dyspnea,Age_Base,4. IRT + Latent OU,-0.239563,0.15889114795918366,-1.507717724221739
